% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1453 +3.977740683e+02 +3.977740683e+02 +5.134540683e+02 +1.156800000e+02 +4.0685e+00 -7.6119e-01 -1.6738e+00 +1.5641e+00 -1.1015e+00 +1.2055e+00 -3.8477e+00 +2.3589e+00 -3.2216e-01 -3.3327e+00 +4.5465e+00 -4.4062e+00 -3.0028e+00 +5.6176e-01 -2.2013e+00 +1.4266e+00 +4.4248e-01 +4.2307e+00 +3.7792e+00 -1.1687e+00
2644 +2.450410317e+02 +2.450410317e+02 +3.607210317e+02 +1.156800000e+02 -2.0535e+00 -3.6838e+00 -1.6738e+00 +1.5641e+00 -2.7908e+00 +4.2075e-02 -3.8477e+00 +2.3589e+00 -2.6032e+00 -1.6986e+00 +1.6563e+00 -4.4062e+00 -3.0028e+00 +1.5604e+00 -2.3002e+00 +6.3013e-01 +4.4248e-01 +4.2307e+00 +3.7792e+00 -1.1687e+00
3498 +1.539461066e+02 +1.539461066e+02 +2.696261066e+02 +1.156800000e+02 -8.8182e-02 +1.5149e+00 -1.6738e+00 +1.5641e+00 -3.4228e+00 -2.4979e+00 -3.5518e+00 +2.3133e+00 -2.7682e+00 -2.6128e+00 +1.0602e+00 -2.7296e+00 -1.5114e+00 -1.0961e+00 -2.0812e+00 -2.0304e-01 +4.4248e-01 +4.2307e+00 +3.7792e+00 +2.1945e-01
5058 +9.375959766e+01 +9.375959766e+01 +2.094395977e+02 +1.156800000e+02 -2.0535e+00 -9.2006e-01 -1.9124e+00 +1.5641e+00 -2.7908e+00 -2.4979e+00 -3.5518e+00 +1.5757e+00 -2.0679e+00 -3.0540e+00 +2.8523e+00 -2.8479e+00 -2.8464e+00 +1.0511e+00 -2.0812e+00 +1.3253e-01 +4.4248e-01 +4.2307e+00 +3.7792e+00 -1.5796e+00
37048 +5.825012509e+01 +5.825012509e+01 +1.739301251e+02 +1.156800000e+02 -2.0535e+00 -9.2006e-01 -1.4670e+00 +1.5641e+00 -2.7908e+00 -2.4979e+00 -3.5518e+00 +2.3133e+00 -2.8358e+00 -2.6248e+00 +2.8523e+00 -2.8479e+00 -2.8706e+00 +1.1924e+00 -1.9758e+00 +1.3253e-01 -1.8744e-02 +4.2307e+00 +3.7792e+00 -1.5796e+00
39177 +3.894099858e+01 +3.894099858e+01 +1.546209986e+02 +1.156800000e+02 -2.1792e+00 -9.2006e-01 -1.4602e+00 +1.5641e+00 -2.7264e+00 -2.4979e+00 -2.9861e+00 +2.3133e+00 -3.9443e+00 -2.6401e+00 +2.7952e+00 -2.8479e+00 -2.8706e+00 +1.1438e+00 -2.0812e+00 +9.5720e-02 -1.8744e-02 +4.2307e+00 +3.7792e+00 -1.5796e+00
77884 +2.482002322e+01 +2.482002322e+01 +1.405000232e+02 +1.156800000e+02 -2.2388e+00 -9.9667e-01 +2.9691e-01 +1.5641e+00 -2.7675e+00 -2.3967e+00 -3.5518e+00 +2.3133e+00 -3.9443e+00 -2.6248e+00 +2.6423e+00 -2.8479e+00 -3.3994e+00 +6.7183e-01 -2.0812e+00 +9.5720e-02 +4.4248e-01 +4.2307e+00 +3.8364e+00 -9.1661e-01
87045 +1.561946905e+01 +1.561946905e+01 +1.312994690e+02 +1.156800000e+02 -2.2388e+00 -9.9667e-01 +2.9691e-01 +2.1967e+00 -2.7675e+00 -2.3967e+00 -3.5518e+00 +2.3133e+00 -3.9443e+00 -2.5716e+00 +3.3039e+00 -2.8479e+00 -3.3994e+00 +6.8296e-01 -2.0812e+00 +9.5720e-02 -1.5493e-02 +4.2307e+00 +3.8364e+00 -9.1661e-01
135398 +8.977858659e+00 +8.977858659e+00 +1.246578587e+02 +1.156800000e+02 -2.1792e+00 -9.3718e-01 -6.3879e-01 +3.0852e+00 -3.5720e+00 -3.2641e+00 -3.5518e+00 +2.3753e+00 -3.9443e+00 -1.9393e+00 +3.2550e+00 -2.8479e+00 -3.3670e+00 +1.1438e+00 -2.0812e+00 -3.5641e-01 -1.8744e-02 +3.8658e+00 +3.4559e+00 -5.3539e-01
149190 +6.080927058e+00 +6.080927058e+00 +1.217609271e+02 +1.156800000e+02 -2.2388e+00 -9.9667e-01 +2.5257e-01 +2.2203e+00 -3.6135e+00 -3.2518e+00 -3.5518e+00 +2.3450e+00 -3.9443e+00 -2.5716e+00 +3.3039e+00 -2.2934e+00 -3.3994e+00 +6.8296e-01 -2.0812e+00 -3.6360e-01 -4.3005e-01 +3.8313e+00 +3.4501e+00 -9.1661e-01
190787 +3.948297536e+00 +3.948297536e+00 +1.196282975e+02 +1.156800000e+02 -2.1792e+00 -9.3718e-01 +2.3182e-01 +3.0852e+00 -3.5720e+00 -3.2641e+00 -3.5518e+00 +2.3753e+00 -3.9443e+00 -1.9393e+00 +3.2550e+00 -2.3115e+00 -3.3670e+00 +6.4240e-01 -2.0812e+00 -3.5641e-01 -4.6217e-01 +3.8658e+00 +3.4559e+00 -9.2052e-01
226571 +2.477273946e+00 +2.477273946e+00 +1.181572739e+02 +1.156800000e+02 -2.1475e+00 -9.9498e-01 +2.4637e-01 +3.0531e+00 -3.6097e+00 -3.2431e+00 -3.5518e+00 +2.3758e+00 -3.9430e+00 -1.9335e+00 +3.2924e+00 -2.2983e+00 -3.3598e+00 +6.6897e-01 -2.0504e+00 -3.3885e-01 -4.5025e-01 +3.8497e+00 +3.4493e+00 -9.0591e-01
246332 +1.347966503e+00 +1.347966503e+00 +1.170279665e+02 +1.156800000e+02 -2.1666e+00 -9.9667e-01 +2.5257e-01 +3.0690e+00 -3.6135e+00 -3.2518e+00 -3.5518e+00 +2.3450e+00 -3.9443e+00 -1.9415e+00 +3.2452e+00 -2.2934e+00 -3.3810e+00 +6.8296e-01 -2.0703e+00 -3.5332e-01 -4.4143e-01 +3.8594e+00 +3.4501e+00 -9.1661e-01
282295 +9.123936465e-01 +9.123936465e-01 +1.165923936e+02 +1.156800000e+02 -2.1792e+00 -9.8885e-01 +2.3182e-01 +3.0852e+00 -3.6042e+00 -3.2641e+00 -3.5518e+00 +2.3438e+00 -3.9233e+00 -1.9486e+00 +3.2550e+00 -2.2982e+00 -3.3670e+00 +6.7029e-01 -2.0747e+00 -3.5641e-01 -4.5052e-01 +3.8407e+00 +3.4502e+00 -9.2052e-01
294251 +6.301697864e-01 +6.301697864e-01 +1.163101698e+02 +1.156800000e+02 -2.1666e+00 -9.9667e-01 +2.5257e-01 +3.0852e+00 -3.6135e+00 -3.2518e+00 -3.5535e+00 +2.3450e+00 -3.9299e+00 -1.9415e+00 +3.2452e+00 -2.2934e+00 -3.3810e+00 +6.7327e-01 -2.0703e+00 -3.5332e-01 -4.4143e-01 +3.8438e+00 +3.4403e+00 -9.1661e-01
335877 +3.790901945e-01 +3.790901945e-01 +1.160590902e+02 +1.156800000e+02 -2.1792e+00 -9.8507e-01 +2.4812e-01 +3.0829e+00 -3.5874e+00 -3.2439e+00 -3.5518e+00 +2.3578e+00 -3.9260e+00 -1.9486e+00 +3.2553e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0647e+00 -3.5169e-01 -4.5829e-01 +3.8443e+00 +3.4405e+00 -9.0755e-01
353706 +2.465552858e-01 +2.465552858e-01 +1.159265553e+02 +1.156800000e+02 -2.1792e+00 -9.9667e-01 +2.5257e-01 +3.0852e+00 -3.6135e+00 -3.2518e+00 -3.5634e+00 +2.3578e+00 -3.9260e+00 -1.9486e+00 +3.2550e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0703e+00 -3.5332e-01 -4.4143e-01 +3.8443e+00 +3.4405e+00 -9.0755e-01
390372 +1.392662047e-01 +1.392662047e-01 +1.158192662e+02 +1.156800000e+02 -2.1792e+00 -9.9667e-01 +2.5257e-01 +3.0852e+00 -3.6135e+00 -3.2430e+00 -3.5634e+00 +2.3578e+00 -3.9260e+00 -1.9486e+00 +3.2628e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0703e+00 -3.5332e-01 -4.4384e-01 +3.8498e+00 +3.4405e+00 -9.0977e-01
426043 +9.220908264e-02 +9.220908264e-02 +1.157722091e+02 +1.156800000e+02 -2.1792e+00 -9.8507e-01 +2.4812e-01 +3.0852e+00 -3.6025e+00 -3.2439e+00 -3.5655e+00 +2.3578e+00 -3.9260e+00 -1.9486e+00 +3.2553e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0647e+00 -3.5169e-01 -4.4598e-01 +3.8500e+00 +3.4405e+00 -9.0755e-01
523288 +6.185646942e-02 +6.185646942e-02 +1.157418565e+02 +1.156800000e+02 -2.1792e+00 -9.8507e-01 +2.4812e-01 +3.0852e+00 -3.6025e+00 -3.2439e+00 -3.5594e+00 +2.3578e+00 -3.9260e+00 -1.9486e+00 +3.2593e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0647e+00 -3.5169e-01 -4.4598e-01 +3.8500e+00 +3.4405e+00 -9.0755e-01
624401 +3.802132399e-02 +3.802132399e-02 +1.157180213e+02 +1.156800000e+02 -2.1792e+00 -9.7874e-01 +2.4812e-01 +3.0876e+00 -3.6042e+00 -3.2439e+00 -3.5594e+00 +2.3578e+00 -3.9244e+00 -1.9486e+00 +3.2593e+00 -2.2982e+00 -3.3761e+00 +6.6912e-01 -2.0647e+00 -3.5169e-01 -4.4598e-01 +3.8498e+00 +3.4405e+00 -9.0977e-01
665999 +2.511561706e-02 +2.511561706e-02 +1.157051156e+02 +1.156800000e+02 -2.1792e+00 -9.8308e-01 +2.4812e-01 +3.0876e+00 -3.6042e+00 -3.2439e+00 -3.5594e+00 +2.3578e+00 -3.9244e+00 -1.9486e+00 +3.2593e+00 -2.2982e+00 -3.3774e+00 +6.6912e-01 -2.0677e+00 -3.4911e-01 -4.4598e-01 +3.8498e+00 +3.4405e+00 -9.0977e-01
848864 +1.506737310e-02 +1.506737310e-02 +1.156950674e+02 +1.156800000e+02 -2.1792e+00 -9.8308e-01 +2.4695e-01 +3.0879e+00 -3.6042e+00 -3.2439e+00 -3.5594e+00 +2.3562e+00 -3.9244e+00 -1.9486e+00 +3.2608e+00 -2.2982e+00 -3.3774e+00 +6.6912e-01 -2.0677e+00 -3.5169e-01 -4.4598e-01 +3.8470e+00 +3.4405e+00 -9.1062e-01
971097 +8.716947370e-03 +8.716947370e-03 +1.156887169e+02 +1.156800000e+02 -2.1792e+00 -9.8368e-01 +2.4500e-01 +3.0909e+00 -3.6042e+00 -3.2431e+00 -3.5631e+00 +2.3563e+00 -3.9260e+00 -1.9509e+00 +3.2606e+00 -2.2982e+00 -3.3781e+00 +6.7163e-01 -2.0669e+00 -3.4998e-01 -4.4631e-01 +3.8483e+00 +3.4405e+00 -9.1156e-01
1052057 +6.251860013e-03 +6.251860013e-03 +1.156862519e+02 +1.156800000e+02 -2.1792e+00 -9.8368e-01 +2.4500e-01 +3.0877e+00 -3.6061e+00 -3.2434e+00 -3.5599e+00 +2.3567e+00 -3.9260e+00 -1.9509e+00 +3.2606e+00 -2.2977e+00 -3.3781e+00 +6.7163e-01 -2.0669e+00 -3.4998e-01 -4.4631e-01 +3.8483e+00 +3.4405e+00 -9.1156e-01
1128051 +3.373903603e-03 +3.373903603e-03 +1.156833739e+02 +1.156800000e+02 -2.1792e+00 -9.8308e-01 +2.4500e-01 +3.0879e+00 -3.6054e+00 -3.2431e+00 -3.5611e+00 +2.3562e+00 -3.9244e+00 -1.9509e+00 +3.2608e+00 -2.2979e+00 -3.3781e+00 +6.7104e-01 -2.0669e+00 -3.4998e-01 -4.4631e-01 +3.8483e+00 +3.4405e+00 -9.1156e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.506410721e+03 +1.506410721e+03 +1.502700721e+03 -3.710000000e+00 +3.9962e+00 -7.5520e-01 -1.1648e+00 +4.3997e+00 -2.0957e+00 -3.8482e+00 +2.5097e-02 +3.4001e+00 -3.5525e+00 +3.0272e+00 +2.0936e+00 +1.4147e+00 +6.0084e-01 -2.7415e+00 +1.5281e+00 +3.8616e-01 +2.3312e+00 +2.3159e+00 -5.8319e-01 +1.1083e+00
126 +4.417079692e+02 +4.417079692e+02 +4.379979692e+02 -3.710000000e+00 +1.4648e+00 -2.4054e+00 -3.2320e-01 +2.1696e+00 -1.6913e+00 +1.9650e-01 -4.8874e+00 -2.6915e+00 -4.7956e+00 -1.6000e+00 +2.3544e+00 +2.9061e+00 +3.8490e+00 -7.9527e-01 -2.4877e+00 -4.8229e+00 +1.4892e+00 +9.1221e-01 +1.2830e+00 -3.0330e+00
1002 +3.863732397e+02 +3.863732397e+02 +3.826632397e+02 -3.710000000e+00 +9.6674e-01 +2.0195e-01 +8.9495e-02 -4.1677e-01 +4.1583e+00 +3.5614e+00 -3.2527e+00 -2.6915e+00 -4.7956e+00 -1.6000e+00 +1.2801e+00 +2.9061e+00 +3.8490e+00 -7.9527e-01 -3.3765e+00 -4.8229e+00 +1.4892e+00 +9.1221e-01 +5.4174e+00 -3.8803e+00
2551 +2.488456870e+02 +2.488456870e+02 +2.451356870e+02 -3.710000000e+00 +1.4648e+00 -2.4054e+00 +1.1878e-01 +2.1696e+00 -1.6913e+00 +3.7394e-01 +1.2524e-01 -2.6915e+00 -3.9160e+00 -5.6349e-01 +2.3544e+00 +2.9061e+00 +3.8490e+00 -8.7366e-01 -1.0405e+00 -4.1419e+00 +1.5056e+00 +1.1893e+00 +3.7699e+00 -3.2148e+00
4234 +1.426641679e+02 +1.426641679e+02 +1.389541679e+02 -3.710000000e+00 +1.4648e+00 -2.5209e+00 +7.4495e-01 +2.1696e+00 +3.8540e+00 +6.8065e-01 +9.8231e-01 -2.6915e+00 -3.0559e+00 -9.0372e-01 +2.3544e+00 +2.9061e+00 +3.6629e+00 -7.9527e-01 -1.5799e+00 -2.8719e+00 +1.5056e+00 +1.1893e+00 +3.2451e+00 -3.2148e+00
16483 +9.138875332e+01 +9.138875332e+01 +8.767875332e+01 -3.710000000e+00 +2.1539e+00 -2.3467e+00 +3.5424e+00 +5.3157e+00 +2.9595e+00 +5.1631e+00 +1.5531e+00 -3.2407e+00 -1.1791e+00 +1.2052e+00 +3.1304e+00 +1.0170e+00 +3.1240e+00 -1.7280e+00 +5.2299e-01 -4.1387e+00 +2.4080e+00 +4.9635e-01 +3.1997e+00 -3.8690e+00
51657 +6.123492830e+01 +6.123492830e+01 +5.752492830e+01 -3.710000000e+00 +1.1307e+00 -2.4054e+00 +2.2937e-01 +3.9499e+00 +3.8091e+00 +2.3932e+00 +9.8231e-01 -2.6915e+00 -3.0559e+00 -9.0372e-01 +3.2085e+00 +2.5717e+00 +3.1801e+00 -1.7356e+00 -3.0824e-01 -3.2687e+00 +1.5056e+00 +1.5597e+00 +3.2451e+00 -3.5180e+00
58832 +3.864724443e+01 +3.864724443e+01 +3.493724443e+01 -3.710000000e+00 +1.1307e+00 -2.4054e+00 +1.7229e+00 +3.8939e+00 +3.8840e+00 +2.8828e+00 -5.6882e-01 -1.3323e+00 -2.4229e+00 +1.2558e+00 +4.2967e+00 +2.5717e+00 +3.6629e+00 -1.7356e+00 +1.2832e-01 -2.8719e+00 +1.5056e+00 +1.1893e+00 +3.2451e+00 -2.8137e+00
65951 +2.430382385e+01 +2.430382385e+01 +2.059382385e+01 -3.710000000e+00 +2.1199e+00 -2.3467e+00 +1.7763e+00 +4.7786e+00 +2.2984e+00 +3.7051e+00 +9.6378e-01 -2.7050e+00 -1.1791e+00 +1.2052e+00 +3.1304e+00 +1.0628e+00 +3.1169e+00 -1.7280e+00 +5.2337e-01 -3.6946e+00 +1.5056e+00 +1.5261e+00 +3.2451e+00 -3.5180e+00
100114 +1.540462873e+01 +1.540462873e+01 +1.169462873e+01 -3.710000000e+00 +3.0491e+00 -2.3467e+00 +1.7763e+00 +4.7786e+00 +2.3582e+00 +3.6846e+00 +8.5776e-01 -2.0025e+00 -1.7886e+00 +6.8268e-01 +3.7285e+00 +1.0628e+00 +3.1169e+00 -1.7280e+00 +5.2299e-01 -3.6846e+00 +1.5056e+00 +1.1705e+00 +3.2451e+00 -3.1951e+00
147752 +9.398062148e+00 +9.398062148e+00 +5.688062148e+00 -3.710000000e+00 +3.0597e+00 -2.3467e+00 +1.7763e+00 +3.8660e+00 +2.3582e+00 +3.7051e+00 +1.7150e-01 -2.0025e+00 -2.3348e+00 +6.8268e-01 +3.7555e+00 +1.0628e+00 +3.1169e+00 -1.7280e+00 +5.2299e-01 -3.2808e+00 +1.5056e+00 +1.9421e+00 +3.2451e+00 -3.1951e+00
184744 +5.977617375e+00 +5.977617375e+00 +2.267617375e+00 -3.710000000e+00 +3.1599e+00 -2.2965e+00 +1.7605e+00 +4.8187e+00 +3.1297e+00 +2.8664e+00 +1.7390e-01 -1.9936e+00 -2.2993e+00 +6.8379e-01 +3.7635e+00 +1.5679e+00 +3.6014e+00 -1.7280e+00 +5.2299e-01 -3.2832e+00 +1.5170e+00 +1.1705e+00 +3.5345e+00 -3.2262e+00
216096 +3.966528609e+00 +3.966528609e+00 +2.565286087e-01 -3.710000000e+00 +3.1406e+00 -2.2783e+00 +1.7540e+00 +3.8914e+00 +3.1777e+00 +3.6865e+00 +1.5561e-01 -1.9783e+00 -2.3331e+00 +6.7123e-01 +3.7650e+00 +1.5927e+00 +3.6247e+00 -1.7030e+00 +5.2675e-01 -3.2571e+00 +1.4813e+00 +1.5199e+00 +3.5430e+00 -3.2148e+00
251935 +2.365401784e+00 +2.365401784e+00 -1.344598216e+00 -3.710000000e+00 +3.1141e+00 -2.2974e+00 +1.7617e+00 +3.9122e+00 +3.1859e+00 +3.6797e+00 +1.6739e-01 -1.9720e+00 -2.3502e+00 +6.7427e-01 +3.1822e+00 +1.5859e+00 +3.5876e+00 -1.7356e+00 +5.0502e-01 -3.2749e+00 +1.5121e+00 +1.5283e+00 +3.5433e+00 -3.2148e+00
257436 +1.551674377e+00 +1.551674377e+00 -2.158325623e+00 -3.710000000e+00 +3.1345e+00 -2.2747e+00 +1.7763e+00 +3.8939e+00 +3.1214e+00 +3.6526e+00 +1.5567e-01 -2.0025e+00 -2.3348e+00 +6.8268e-01 +3.7555e+00 +1.5756e+00 +3.6043e+00 -1.7280e+00 +5.2299e-01 -3.2808e+00 +1.5056e+00 +1.5185e+00 +3.5388e+00 -3.2124e+00
293776 +8.364886426e-01 +8.364886426e-01 -2.873511357e+00 -3.710000000e+00 +3.1345e+00 -2.2947e+00 +1.7763e+00 +3.8939e+00 +3.1467e+00 +3.6526e+00 +1.5567e-01 -2.0025e+00 -2.3348e+00 +6.8268e-01 +3.7555e+00 +1.5756e+00 +3.6043e+00 -1.7280e+00 +5.2299e-01 -3.2808e+00 +1.5056e+00 +1.5185e+00 +3.5444e+00 -3.2124e+00
309314 +5.951393152e-01 +5.951393152e-01 -3.114860685e+00 -3.710000000e+00 +3.1120e+00 -2.2965e+00 +1.7973e+00 +3.9209e+00 +3.1351e+00 +3.6779e+00 +1.7390e-01 -1.9936e+00 -2.3379e+00 +6.6909e-01 +3.7495e+00 +1.5679e+00 +3.6014e+00 -1.7280e+00 +5.0961e-01 -3.2749e+00 +1.5113e+00 +1.5283e+00 +3.5477e+00 -3.2183e+00
374748 +3.836210224e-01 +3.836210224e-01 -3.326378978e+00 -3.710000000e+00 +3.1345e+00 -2.2947e+00 +1.7795e+00 +3.9090e+00 +3.1467e+00 +3.6595e+00 +1.5567e-01 -2.0025e+00 -2.3348e+00 +6.8268e-01 +3.7481e+00 +1.5728e+00 +3.6045e+00 -1.7348e+00 +5.1011e-01 -3.2733e+00 +1.5060e+00 +1.5246e+00 +3.5484e+00 -3.2124e+00
425285 +2.438506427e-01 +2.438506427e-01 -3.466149357e+00 -3.710000000e+00 +3.1345e+00 -2.2947e+00 +1.7795e+00 +3.9090e+00 +3.1467e+00 +3.6706e+00 +1.5989e-01 -1.9945e+00 -2.3348e+00 +6.8268e-01 +3.7481e+00 +1.5815e+00 +3.6043e+00 -1.7274e+00 +5.1011e-01 -3.2733e+00 +1.5060e+00 +1.5246e+00 +3.5484e+00 -3.2124e+00
447259 +1.477316074e-01 +1.477316074e-01 -3.562268393e+00 -3.710000000e+00 +3.1199e+00 -2.2864e+00 +1.7844e+00 +3.9140e+00 +3.1460e+00 +3.6654e+00 +1.5561e-01 -1.9896e+00 -2.3331e+00 +6.7123e-01 +3.7524e+00 +1.5793e+00 +3.6043e+00 -1.7280e+00 +5.0961e-01 -3.2749e+00 +1.5121e+00 +1.5199e+00 +3.5539e+00 -3.2148e+00
466720 +9.411290928e-02 +9.411290928e-02 -3.615887091e+00 -3.710000000e+00 +3.1224e+00 -2.2947e+00 +1.7844e+00 +3.9090e+00 +3.1467e+00 +3.6673e+00 +1.5567e-01 -1.9957e+00 -2.3348e+00 +6.7050e-01 +3.7538e+00 +1.5826e+00 +3.6043e+00 -1.7280e+00 +5.1650e-01 -3.2788e+00 +1.5116e+00 +1.5233e+00 +3.5549e+00 -3.2124e+00
534463 +5.405848941e-02 +5.405848941e-02 -3.655941511e+00 -3.710000000e+00 +3.1224e+00 -2.2947e+00 +1.7844e+00 +3.9090e+00 +3.1467e+00 +3.6673e+00 +1.5567e-01 -1.9896e+00 -2.3331e+00 +6.7123e-01 +3.7516e+00 +1.5793e+00 +3.6043e+00 -1.7280e+00 +5.1443e-01 -3.2749e+00 +1.5090e+00 +1.5233e+00 +3.5549e+00 -3.2124e+00
536553 +3.812463139e-02 +3.812463139e-02 -3.671875369e+00 -3.710000000e+00 +3.1224e+00 -2.2947e+00 +1.7844e+00 +3.9090e+00 +3.1540e+00 +3.6673e+00 +1.5772e-01 -1.9896e+00 -2.3363e+00 +6.7123e-01 +3.7524e+00 +1.5793e+00 +3.6043e+00 -1.7280e+00 +5.1443e-01 -3.2749e+00 +1.5090e+00 +1.5233e+00 +3.5549e+00 -3.2148e+00
654320 +2.354330740e-02 +2.354330740e-02 -3.686456693e+00 -3.710000000e+00 +3.1224e+00 -2.2947e+00 +1.7844e+00 +3.9090e+00 +3.1540e+00 +3.6712e+00 +1.5772e-01 -1.9896e+00 -2.3363e+00 +6.7123e-01 +3.7516e+00 +1.5793e+00 +3.6043e+00 -1.7280e+00 +5.1443e-01 -3.2749e+00 +1.5090e+00 +1.5245e+00 +3.5549e+00 -3.2124e+00
781898 +1.542308196e-02 +1.542308196e-02 -3.694576918e+00 -3.710000000e+00 +3.1195e+00 -2.2947e+00 +1.7830e+00 +3.9090e+00 +3.1549e+00 +3.6724e+00 +1.5995e-01 -1.9922e+00 -2.3363e+00 +6.7123e-01 +3.7516e+00 +1.5793e+00 +3.6043e+00 -1.7280e+00 +5.1443e-01 -3.2763e+00 +1.5090e+00 +1.5246e+00 +3.5549e+00 -3.2140e+00
930106 +9.257309050e-03 +9.257309050e-03 -3.700742691e+00 -3.710000000e+00 +3.1210e+00 -2.2957e+00 +1.7844e+00 +3.9105e+00 +3.1534e+00 +3.6732e+00 +1.5988e-01 -1.9917e+00 -2.3348e+00 +6.7113e-01 +3.7508e+00 +1.5782e+00 +3.6043e+00 -1.7320e+00 +5.1178e-01 -3.2749e+00 +1.5083e+00 +1.5248e+00 +3.5554e+00 -3.2129e+00
978777 +5.699665210e-03 +5.699665210e-03 -3.704300335e+00 -3.710000000e+00 +3.1210e+00 -2.2957e+00 +1.7844e+00 +3.9105e+00 +3.1534e+00 +3.6732e+00 +1.5988e-01 -1.9917e+00 -2.3348e+00 +6.7113e-01 +3.7508e+00 +1.5802e+00 +3.6043e+00 -1.7320e+00 +5.1178e-01 -3.2765e+00 +1.5083e+00 +1.5248e+00 +3.5554e+00 -3.2129e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.825341295e+03 +1.825341295e+03 +1.957521295e+03 +1.321800000e+02 +2.2608e+00 +4.6436e+00 -4.6807e+00 +9.7779e-01 -2.2527e+00 -2.7728e+00 +2.6319e+00 -1.1382e+00 -6.2979e-02 -1.7690e+00 +1.2066e+00 +2.4334e+00 +1.4232e+00 +1.5361e-01 +1.8421e+00 +4.2073e+00 -2.7524e+00 -1.9022e+00 +1.0253e+00 +4.6437e+00
121 +7.011461313e+02 +7.011461313e+02 +8.333261313e+02 +1.321800000e+02 +1.7005e+00 +3.3026e+00 -1.5487e+00 -4.2820e+00 +1.7905e+00 -3.2883e+00 -3.0135e+00 -1.2689e-01 -1.8836e+00 -2.1472e-01 -1.0025e+00 -6.1446e-01 +6.3086e-01 +1.8541e+00 -3.7049e+00 -3.2956e+00 +2.5531e+00 +4.9206e+00 -3.1553e+00 +1.6306e-01
243 +5.894981948e+02 +5.894981948e+02 +7.216781948e+02 +1.321800000e+02 -7.6794e-01 +2.3166e+00 +3.6465e+00 -1.0035e+00 -3.7507e+00 -1.7260e+00 -6.0765e-01 +2.4795e+00 +1.2975e+00 -1.1224e+00 +3.6459e+00 +3.1445e-01 +6.3086e-01 +1.8541e+00 -3.7049e+00 +4.7635e+00 -2.1632e+00 -1.3335e-01 -3.7558e+00 +1.2139e+00
1194 +3.744323298e+02 +3.744323298e+02 +5.066123298e+02 +1.321800000e+02 -7.6794e-01 +2.3166e+00 +3.6428e+00 -1.0035e+00 -3.7507e+00 -1.7260e+00 -6.0765e-01 -1.7839e+00 +1.0469e+00 -1.1224e+00 +3.6459e+00 +1.7115e+00 +2.9224e-01 -3.9617e-01 -4.7203e+00 +4.8527e+00 +3.0025e+00 +3.4332e+00 +9.5206e-03 +1.7667e+00
2575 +2.420152558e+02 +2.420152558e+02 +3.741952558e+02 +1.321800000e+02 -7.6794e-01 +2.3166e+00 +3.6465e+00 -1.0035e+00 -3.7507e+00 -1.5429e+00 -6.0765e-01 +1.7085e+00 +1.0469e+00 -2.1472e-01 -1.4617e+00 +1.7115e+00 +2.9224e-01 +2.4650e+00 -4.9066e+00 +4.3261e+00 +3.0025e+00 +3.4159e+00 -4.0078e-01 +1.7667e+00
4382 +1.521735307e+02 +1.521735307e+02 +2.843535307e+02 +1.321800000e+02 -7.6794e-01 +2.2103e+00 +3.4494e+00 -1.0035e+00 -3.9504e+00 -1.7541e+00 -1.1347e+00 +1.3549e+00 +1.0469e+00 -6.9820e-01 -1.4617e+00 +1.7115e+00 +2.9224e-01 +2.4650e+00 -3.1023e+00 +3.8738e+00 +5.7347e-01 +3.4332e+00 -1.0181e+00 +1.1204e+00
17759 +9.833988074e+01 +9.833988074e+01 +2.305198807e+02 +1.321800000e+02 -2.8291e+00 +1.4936e+00 +3.3760e+00 -3.6412e+00 -3.3350e+00 -9.2244e-01 -3.0815e+00 +8.2702e-01 +1.5931e-01 +4.2238e-01 -3.2227e-01 +3.0269e+00 -5.0440e-01 +2.0401e+00 -4.2256e+00 +2.7152e+00 +1.3814e+00 +3.1402e+00 -1.7423e+00 -1.2010e-01
49541 +6.297037217e+01 +6.297037217e+01 +1.951503722e+02 +1.321800000e+02 -2.6994e+00 +2.4877e+00 +1.9448e+00 -1.9178e+00 -3.2896e+00 -1.8322e+00 -1.0227e+00 -1.7839e+00 +8.2905e-01 -1.8913e-01 +2.4218e-01 +2.5915e+00 -4.8872e-01 +3.2616e+00 -3.1325e+00 +2.3093e+00 +2.5321e+00 +4.2923e+00 -1.3273e+00 +1.6719e+00
