% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
250268 +2.457081492e+00 +2.457081492e+00 -4.596329185e+02 -4.620900000e+02 -2.3369e+00 +2.2789e+00 +2.2013e+00 +7.5377e-01 +2.2733e+00 +2.1737e+00 +2.5701e+00 +2.6038e+00 +1.8049e+00 +6.5810e-02 -2.7389e+00 -3.7715e+00 -1.2044e-01 -2.9604e+00 -1.3609e+00 -3.9112e+00 -3.3085e-01 +2.9565e+00 -2.8302e+00 +1.8082e+00
324584 +1.513647476e+00 +1.513647476e+00 -4.605763525e+02 -4.620900000e+02 -2.3369e+00 +2.2789e+00 +2.2013e+00 +7.5377e-01 +2.2833e+00 +2.1737e+00 +2.5701e+00 +2.6038e+00 +1.8049e+00 +6.5810e-02 -2.7389e+00 -3.7715e+00 -1.2044e-01 -2.9604e+00 -1.3840e+00 -3.9112e+00 -3.3085e-01 +2.9479e+00 -2.8302e+00 +1.8109e+00
328955 +8.996647667e-01 +8.996647667e-01 -4.611903352e+02 -4.620900000e+02 -2.3369e+00 +2.2789e+00 +2.2013e+00 +7.2105e-01 +2.2733e+00 +2.1737e+00 +2.5372e+00 +2.6038e+00 +1.8049e+00 +6.5560e-02 -2.7491e+00 -3.7715e+00 -1.3059e-01 -2.9604e+00 -1.3840e+00 -3.9215e+00 -3.3085e-01 +2.9479e+00 -2.8347e+00 +1.8109e+00
448137 +6.224124922e-01 +6.224124922e-01 -4.614675875e+02 -4.620900000e+02 -2.3369e+00 +2.2789e+00 +2.2099e+00 +7.2105e-01 +2.3092e+00 +2.1737e+00 +2.5701e+00 +2.6038e+00 +1.8049e+00 +5.9943e-02 -2.7491e+00 -3.7870e+00 -1.3059e-01 -2.9604e+00 -1.3840e+00 -3.9215e+00 -3.3085e-01 +2.9479e+00 -2.8347e+00 +1.8241e+00
527085 +3.637593395e-01 +3.637593395e-01 -4.617262407e+02 -4.620900000e+02 -2.3443e+00 +2.3080e+00 +2.2037e+00 +7.2238e-01 +2.2912e+00 +2.1816e+00 +2.5411e+00 +2.5998e+00 +1.8080e+00 +6.3156e-02 -2.7513e+00 -3.7875e+00 -1.3778e-01 -2.9629e+00 -1.3898e+00 -3.9267e+00 -3.3706e-01 +2.9524e+00 -2.8216e+00 +1.8255e+00
630095 +2.431145469e-01 +2.431145469e-01 -4.618468855e+02 -4.620900000e+02 -2.3443e+00 +2.3024e+00 +2.2143e+00 +7.2811e-01 +2.2945e+00 +2.1848e+00 +2.5395e+00 +2.6017e+00 +1.8080e+00 +5.6151e-02 -2.7504e+00 -3.7857e+00 -1.3975e-01 -2.9620e+00 -1.3879e+00 -3.9312e+00 -3.3639e-01 +2.9494e+00 -2.8224e+00 +1.8196e+00
674159 +1.553903917e-01 +1.553903917e-01 -4.619346096e+02 -4.620900000e+02 -2.3516e+00 +2.3101e+00 +2.2086e+00 +7.3209e-01 +2.2975e+00 +2.1739e+00 +2.5486e+00 +2.5963e+00 +1.8049e+00 +4.9855e-02 -2.7474e+00 -3.7875e+00 -1.3778e-01 -2.9629e+00 -1.3898e+00 -3.9227e+00 -3.3706e-01 +2.9495e+00 -2.8289e+00 +1.8202e+00
769755 +6.309749431e-02 +6.309749431e-02 -4.620269025e+02 -4.620900000e+02 -2.3415e+00 +2.3077e+00 +2.2143e+00 +7.2811e-01 +2.2945e+00 +2.1792e+00 +2.5438e+00 +2.5998e+00 +1.8049e+00 +5.6151e-02 -2.7504e+00 -3.7857e+00 -1.3975e-01 -2.9589e+00 -1.3843e+00 -3.9266e+00 -3.3995e-01 +2.9479e+00 -2.8302e+00 +1.8177e+00
770106 +6.306742898e-02 +6.306742898e-02 -4.620269326e+02 -4.620900000e+02 -2.3415e+00 +2.3077e+00 +2.2143e+00 +7.2811e-01 +2.2945e+00 +2.1792e+00 +2.5438e+00 +2.5998e+00 +1.8049e+00 +5.6151e-02 -2.7504e+00 -3.7857e+00 -1.3975e-01 -2.9589e+00 -1.3843e+00 -3.9266e+00 -3.3995e-01 +2.9479e+00 -2.8302e+00 +1.8177e+00
906611 +3.828743987e-02 +3.828743987e-02 -4.620517126e+02 -4.620900000e+02 -2.3415e+00 +2.3077e+00 +2.2143e+00 +7.2811e-01 +2.3014e+00 +2.1758e+00 +2.5438e+00 +2.5998e+00 +1.8049e+00 +5.7483e-02 -2.7504e+00 -3.7848e+00 -1.3975e-01 -2.9589e+00 -1.3843e+00 -3.9266e+00 -3.3995e-01 +2.9479e+00 -2.8302e+00 +1.8198e+00
